Avg Losing Trade [%],-6.116825191215015,-4.739545265986419,-7.300077235294243,-6.067541167775419,-6.858049039215522,-5.95943346662845,-5.235411109355011,-7.761259195455581,-5.999694538391096,-7.180534730686898,-5.971051621710405,-6.055226177702563,-5.232983357325384,-7.680158597690845,-6.101255334720059,-7.111301165203264,-6.3078390841126195,-6.002718170818876,-6.596760566472942,-7.776943853430771,-8.35173090164045,-6.294280109201749,-5.605117578580383,-7.783037273528276,-6.807703808617234,-9.021167147628724,-6.532333505171622,-5.302189292370856,-7.766599347471736,-6.900280524879994,-8.891090807040293,-6.9161423736784435,-5.703078504582504,-8.17510231926866,-7.190391652277138,-8.608257064843727,-6.392588010681018,-5.730893473861646,-8.14992396898583,-7.5274093246902165,-7.742726267773298
Avg Winning Trade Duration,36 days 02:49:24.705882353,39 days 18:51:25.714285714,33 days 09:00:00,23 days 18:40:00,41 days 21:19:59.999999999,36 days 02:49:24.705882353,37 days 16:00:00,35 days 12:48:00,21 days 00:00:00,39 days 12:00:00,36 days 05:38:49.411764706,36 days 12:42:21.176470588,38 days 06:24:00,35 days 12:48:00,21 days 01:42:51.428571428,39 days 00:00:00,35 days 08:34:17.142857142,39 days 04:48:00,34 days 20:18:27.692307692,25 days 17:08:34.285714285,38 days 16:00:00,36 days 22:17:08.571428571,38 days 20:34:17.142857142,35 days 03:25:42.857142857,23 days 21:00:00,40 days 05:20:00,36 days 22:17:08.571428571,40 days 12:55:23.076923077,35 days 06:51:25.714285714,24 days 03:00:00,40 days 08:00:00,38 days 20:48:00,40 days 05:08:34.285714286,35 days 03:12:00,22 days 12:00:00,38 days 12:00:00,36 days 03:00:00,36 days 14:24:00,36 days 13:42:51.428571428,21 days 01:50:46.153846153,39 days 00:00:00
Avg Losing Trade Duration,5 days 00:00:00,3 days 23:18:51.428571428,4 days 22:04:48,5 days 00:36:00,4 days 17:13:50.769230769,4 days 22:21:49.090909090,4 days 02:17:08.571428571,5 days 01:39:18.620689655,3 days 10:12:45.957446808,4 days 07:08:56.170212766,4 days 13:30:00,4 days 10:17:08.571428571,4 days 06:00:00,4 days 20:47:59.999999999,3 days 10:12:45.957446808,4 days 07:30:00,5 days 05:08:34.285714285,5 days 14:34:17.142857142,5 days 12:37:53.684210526,6 days 03:36:00,4 days 17:08:34.285714285,5 days 10:58:17.142857142,5 days 00:57:36,6 days 03:16:21.818181818,5 days 12:23:13.548387096,4 days 17:44:20.869565217,5 days 14:24:00,5 days 13:20:00,6 days 05:27:16.363636363,5 days 14:42:34.838709677,4 days 17:00:00,5 days 12:00:00,4 days 20:07:44.516129032,5 days 12:00:00,4 days 03:53:30.810810810,4 days 20:06:29.189189189,5 days 01:08:34.285714285,4 days 10:17:08.571428571,5 days 06:27:41.538461538,3 days 16:40:00,4 days 17:20:00
Profit Factor,2.988011870072229,2.7503827521937696,2.916206286638275,0.9180384529006383,1.8865421797452468,3.5953674198335017,2.0449550606393787,2.291684609365788,0.9779771884022994,1.5687690444508,3.947997224361585,3.387854098963599,2.2497306058318407,2.23141543716961,1.0100768729976863,1.5434071918662808,3.5477997138489368,1.647574151607588,3.592748707897389,1.4565386699106886,1.8702426803216328,3.573310532427227,2.7931109925990345,3.0439572642307144,1.0078461099306792,2.012160990301448,3.5088142277860257,2.785833602255217,3.1458459623346298,1.069967320678407,2.0027736087893313,3.531364713659661,2.551075886695976,2.727824749306523,0.8596532422320566,1.5456601087249626,3.878610871349659,2.17319064147813,2.9584906221004426,1.1375393995982244,2.1992646203470296
Expectancy,64.8400221213032,13.532435373646214,16.286619518602738,-0.23292767144210558,17.1987582703229,64.60874830335116,7.811743201678041,20.49231916090531,-0.07413719838465171,5.794314370972064,46.68051944448956,71.12024756930046,9.978779574412954,19.265770786122147,0.03242343187268304,5.883805253601473,37.968056717907984,2.735629294179178,24.287210652920674,2.4055171472699115,45.58452057432096,39.09105301770091,20.415714949264483,29.134811239882165,0.025500429123148205,39.64144136830278,35.54956298015452,19.35116096858456,31.825890422951836,0.2272819473138341,36.757021036517735,111.59905879561418,17.458755846570252,30.979890409424385,-0.414150245881328,8.397063245452658,106.91463727530069,10.89936178038115,37.31883760624315,0.6088990653062085,14.042475845737453
Sharpe Ratio,1.3228915566374029,1.1537554857684582,1.0262900111475217,0.30661430259800726,1.1358965200528923,1.3257824408931649,0.9949996236439528,1.1077028890403926,0.36763732691276907,0.87175620349057,1.2646773166210645,1.3561959094856062,1.0686482973481073,1.095776832565107,0.3884064972065948,0.880066708423141,1.2147289385275337,0.5854287869435022,1.1196935973371933,0.5283469285766748,1.319955021432334,1.1871909384422012,1.2388181816800776,1.1676159769051027,0.352269097339054,1.2862372853543385,1.163779554640689,1.2268386595438172,1.1946303839049295,0.38044852717364724,1.2712964372946018,1.4114820752761275,1.2134340303521536,1.199667167591929,0.2923227199122395,0.9193835570233622,1.4212309859488617,1.0716531822775877,1.2832925316558925,0.4637243974399236,1.0595691014644188
Calmar Ratio,1.616716656277637,0.8337263822011312,0.9002851911884401,-0.039312273199488316,1.221899013964165,1.6016092275761684,0.6047705133449777,1.0270806090285316,-0.014771079172589623,0.5989984538778542,1.3857280379193426,1.6397127445223865,0.6902217094795254,1.0065061467954797,0.0061323191909577746,0.6247629204216593,1.582077066796225,0.27249629483693805,1.2623886124691324,0.25276395051375383,1.6239970227778704,1.251913097436623,1.1352982724470995,1.242578272268762,0.0035209230065534145,1.6432120830924004,1.180312341407666,1.073965708501616,1.2961185107651725,0.03015438323474275,1.6073985347532596,1.8624316141965165,0.9244309876139006,1.3107976768206913,-0.0687171239268792,0.729134311689381,1.8643137804255638,0.684785871169362,1.4035938731625812,0.08877883675729895,0.9707892502717027
Omega Ratio,1.3648187516980677,1.2971726407433317,1.2652365287488738,1.0942925513983353,1.3030014542971382,1.366313172899189,1.2426596440517224,1.2828946662520553,1.1098785035351229,1.214596963026516,1.3439044124099766,1.3738047530498072,1.2616598529579697,1.2791993968029511,1.1165581913605311,1.2163752620316977,1.3531081944573036,1.153996112069031,1.316093717960245,1.196678039766593,1.4058646133503403,1.3525569302518587,1.3290127333387176,1.317189566500686,1.1172134194135417,1.382585686009783,1.3434399199919589,1.3237307389979267,1.3239111383826971,1.1263234005305853,1.3756869873887956,1.407871167022186,1.3104317226210715,1.315550956474931,1.088655635167418,1.2346925538140885,1.4171064621483962,1.2709962555147285,1.340716737553441,1.1488356265333957,1.2782108661877696
Sortino Ratio,2.559398826415508,1.8594516307890483,1.5492526356700524,0.5196086104144878,1.9247596672946081,2.5636289585957774,1.5938247259173823,1.6812680434540412,0.6367543430895557,1.4460639676219582,2.4282043766650734,2.6459516314896834,1.7199872120717903,1.6632454489661421,0.6753126844289002,1.459527101145187,2.27434708791484,0.8852465691410332,1.6976623141041487,0.8908352330557693,2.3324435405432724,2.2717323834542924,2.021254846400521,1.7822651409155525,0.5886722539623682,2.2307489125601854,2.2246928543708213,2.0009180047869837,1.8248372667250148,0.6369460784197873,2.2036603881132355,2.770226594634472,1.9719440679909177,1.8273664459788268,0.49279439129931596,1.5288808443245203,2.821941904651502,1.7292004453728071,2.026228616431351,0.8123466956998904,1.7774160442329132
Annualized Return Adjust Vol,1.3919440600287671,1.146770208264042,0.8810910325410829,-0.04314798184189465,1.0349200481716272,1.3978380905146353,0.9035885332364076,1.0078760677378107,-0.015151830895895137,0.595264508158012,1.253667606790383,1.4652337750572995,1.012621619803691,0.9879280855920105,0.006481479155173532,0.6067248915952419,1.2183863687219427,0.403269674076861,1.0564214158491032,0.19902459503266015,1.4045442612842793,1.1276003143654945,1.2857608534712521,1.1174078459129775,0.003620738477955033,1.3313110139968987,1.0804057001949117,1.266205514830961,1.164092592959201,0.03131240836042144,1.3016547223973947,1.610627308395114,1.2423168220870604,1.1680044230029119,-0.07553603773277914,0.6706421621732809,1.6409467957615453,1.01904249820127,1.3332341859970518,0.09036300371048202,0.8983743147908622
